"ID","start_time","completion_time","major","active_mobility","home_campus","frequency_visiting_canteen","staff_response","friendly_staff","quick_response_staff","order_waiting_time","payment_method","smooth_payment","clear_menu_info","clean_area","cozy_room_layout","neat_furniture_placement","clean_utensils","cleaning_facility","proper_table_chair","cozy_seating_area","menu_variety","healty_menu","freshness_menu","taste_match_price","affordable_price","price_vs_quality"
50,2025-04-24 13:49:09,2025-04-24 13:52:38,"computer science","iya","campus s","0 kali","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","setuju","tidak merasakan","tidak merasakan","tidak merasakan","setuju","setuju","setuju","setuju","setuju","tidak merasakan","tidak merasakan","tidak setuju","tidak merasakan"
51,2025-04-25 14:19:04,2025-04-25 14:20:32,"computer science","iya","campus b","3-4 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","sangat setuju","setuju"
52,2025-04-25 14:48:19,2025-04-25 14:51:29,"computer science","iya","campus m","3-4 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","tidak merasakan","tidak merasakan"
53,2025-04-25 14:43:44,2025-04-25 14:52:13,"data science","iya","campus m","1-2 kali","tidak merasakan","setuju","tidak setuju","tidak setuju","setuju","setuju","setuju","setuju","setuju","tidak setuju","tidak merasakan","tidak merasakan","tidak setuju","tidak setuju","sangat setuju","setuju","setuju","setuju","tidak setuju","tidak setuju"
54,2025-04-25 15:07:44,2025-04-25 15:10:02,"data science","iya","campus m","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
55,2025-04-25 15:51:33,2025-04-25 15:54:32,"computer science","iya","campus s",">4 kali","sangat tidak setuju","tidak setuju","tidak merasakan","tidak setuju","tidak merasakan","tidak setuju","sangat tidak setuju","sangat tidak setuju","tidak setuju","tidak merasakan","tidak setuju","sangat tidak setuju","tidak setuju","tidak merasakan","sangat tidak setuju","tidak setuju","tidak merasakan","setuju","setuju","tidak merasakan"
56,2025-04-25 15:58:37,2025-04-25 16:03:09,"computer science","iya","campus m","3-4 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","setuju","sangat setuju","setuju","tidak merasakan","setuju"
57,2025-04-25 17:12:43,2025-04-25 17:15:38,"computer science - software engineering","iya","campus s","3-4 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","setuju","setuju","sangat setuju","setuju","setuju","setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju"
58,2025-04-25 17:03:12,2025-04-25 17:18:16,"computer science","iya","campus b","3-4 kali","setuju","sangat setuju","setuju","sangat setuju","setuju","sangat setuju","sangat setuju","setuju","setuju","setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","setuju","setuju","setuju"
59,2025-04-25 17:49:16,2025-04-25 17:50:36,"artificial intelligence","iya","campus s","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
60,2025-04-25 21:44:55,2025-04-25 21:48:11,"computer science","iya","campus m","1-2 kali","setuju","tidak merasakan","sangat setuju","setuju","sangat setuju","sangat setuju","tidak merasakan","setuju","setuju","tidak merasakan","setuju","tidak setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
61,2025-04-26 04:07:58,2025-04-26 04:10:06,"computer science","iya","campus b","1-2 kali","setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","setuju","tidak setuju","tidak merasakan","tidak merasakan","setuju","setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","setuju"
62,2025-04-26 14:02:35,2025-04-26 14:05:38,"computer science","iya","campus b","1-2 kali","setuju","setuju","setuju","tidak setuju","sangat setuju","tidak setuju","sangat setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak setuju"
63,2025-04-26 14:09:59,2025-04-26 14:11:55,"cyber security","iya","campus b","3-4 kali","setuju","tidak merasakan","setuju","setuju","sangat setuju","setuju","setuju","setuju","setuju","setuju","sangat setuju","setuju","setuju","setuju","sangat setuju","tidak setuju","sangat setuju","sangat setuju","setuju","setuju"
64,2025-04-26 14:10:49,2025-04-26 14:11:55,"computer science","iya","campus b",">4 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
65,2025-04-26 14:09:14,2025-04-26 14:12:06,"computer science","iya","campus b","3-4 kali","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","tidak setuju","setuju","tidak setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
66,2025-04-26 14:11:17,2025-04-26 14:12:34,"computer science","iya","campus b","1-2 kali","tidak merasakan","setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","setuju","sangat setuju","sangat setuju"
67,2025-04-26 14:09:50,2025-04-26 14:16:00,"computer science","iya","campus b","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
68,2025-04-26 14:12:05,2025-04-26 14:16:48,"data science","iya","campus b","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
69,2025-04-26 14:14:34,2025-04-26 14:17:35,"cyber security","iya","campus b","3-4 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
70,2025-04-26 14:19:07,2025-04-26 14:23:00,"computer science","iya","campus b",">4 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat tidak setuju","sangat setuju"
71,2025-04-26 14:22:01,2025-04-26 14:24:17,"computer science","iya","campus b","1-2 kali","setuju","setuju","setuju","setuju","sangat setuju","sangat setuju","sangat setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
72,2025-04-26 14:27:16,2025-04-26 14:29:30,"computer science","iya","campus b","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
73,2025-04-26 14:35:56,2025-04-26 14:36:27,"computer science","iya","campus b","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
74,2025-04-26 14:31:44,2025-04-26 14:37:21,"computer science","iya","campus b","3-4 kali","setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","setuju","setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","setuju","tidak merasakan","setuju"
75,2025-04-26 14:46:53,2025-04-26 14:48:49,"computer science","iya","campus s","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","sangat setuju","setuju","setuju","setuju"
76,2025-04-26 14:44:30,2025-04-26 14:51:10,"computer science","iya","campus s","1-2 kali","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak merasakan","tidak merasakan","tidak merasakan","setuju","setuju","setuju","tidak merasakan","setuju","tidak merasakan","tidak merasakan","setuju","tidak merasakan"
77,2025-04-26 14:51:25,2025-04-26 14:53:22,"computer science - software engineering","iya","campus b","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
78,2025-04-26 14:51:25,2025-04-26 14:53:22,"computer science - software engineering","iya","campus b","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
79,2025-04-26 14:51:16,2025-04-26 14:54:45,"game application and technology","iya","campus m",">4 kali","tidak merasakan","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","setuju","setuju"
80,2025-04-26 14:53:09,2025-04-26 14:55:49,"computer science","iya","campus m","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
81,2025-04-26 15:02:48,2025-04-26 15:06:34,"computer science - software engineering","iya","campus s","0 kali","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan"
